n,generation,specimen,fitness,distance,alpha0,alpha1,alpha2,beta0,beta1,beta2,evaporation_rate0,evaporation_rate1,evaporation_rate2
1,0,0,100,571.5824468738789,0.714,0.1726,0.05633,3.2839,2.62934,0.005186,0.988222,0.94783,0.005589
3,0,1,100,552.6975509539446,0.714,0.1726,0.05633,3.2839,2.62934,0.005186,0.988222,0.94783,0.005589
5,0,2,100,560.3586666397953,0.714,0.1726,0.05633,3.2839,2.62934,0.005186,0.988222,0.94783,0.005589
7,0,3,100,563.6387139371383,0.714,0.1726,0.05633,3.2839,2.62934,0.005186,0.988222,0.94783,0.005589
9,0,4,100,557.398265194025,0.714,0.1726,0.05633,3.2839,2.62934,0.005186,0.988222,0.94783,0.005589
11,0,5,100,563.778573927096,0.714,0.1726,0.05633,3.2839,2.62934,0.005186,0.988222,0.94783,0.005589
13,0,6,100,549.8912994287655,0.714,0.1726,0.05633,3.2839,2.62934,0.005186,0.988222,0.94783,0.005589
15,0,7,100,536.8992828660854,0.714,0.1726,0.05633,3.2839,2.62934,0.005186,0.988222,0.94783,0.005589
17,0,8,100,568.9730357603929,0.714,0.1726,0.05633,3.2839,2.62934,0.005186,0.988222,0.94783,0.005589
19,0,9,100,574.070664025226,0.714,0.1726,0.05633,3.2839,2.62934,0.005186,0.988222,0.94783,0.005589
21,0,10,100,551.0835407873332,0.714,0.1726,0.05633,3.2839,2.62934,0.005186,0.988222,0.94783,0.005589
23,0,11,100,549.5704430335226,0.714,0.1726,0.05633,3.2839,2.62934,0.005186,0.988222,0.94783,0.005589